NAICS_SECTOR,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
23 ,2,2,  50.7%,  1.00%
23 ,2,3,  28.6%,  1.21%
23 ,2,4,   4.0%,  0.47%
23 ,2,5,   1.2%,  0.20%
23 ,3,1,   4.4%,  0.54%
23 ,3,2,   1.9%,  0.36%
23 ,3,3,   3.9%,  0.33%
23 ,3,4,   9.7%,  0.52%
23 ,3,5,  15.6%,  0.80%
23 ,3,6,  14.0%,  0.75%
23 ,3,7,   7.2%,  0.65%
23 ,3,8,  13.8%,  0.62%
23 ,3,9,  19.4%,  1.34%
23 ,3,10,  10.2%,  0.67%
23 ,4,1,   7.0%,  0.48%
23 ,4,2,  23.3%,  1.02%
23 ,4,3,  69.7%,  1.06%
23 ,5,1,   0.2%,  0.09%
23 ,5,2,   1.1%,  0.21%
23 ,5,3,   0.7%,  0.22%
23 ,5,4,  97.9%,  0.26%
23 ,6,1,   7.2%,  0.74%
23 ,6,2,  12.0%,  0.84%
23 ,6,3,  80.9%,  0.78%
23 ,7,1,   3.9%,  0.49%
23 ,7,2,  39.2%,  1.22%
23 ,7,3,  57.0%,  1.26%
23 ,8,1,   6.8%,  0.56%
23 ,8,2,  16.4%,  1.14%
23 ,8,3,  76.9%,  0.98%
23 ,9,1,   2.1%,  0.29%
23 ,9,2,   2.6%,  0.45%
23 ,9,3,  34.7%,  1.30%
23 ,9,4,  60.7%,  1.60%
23 ,10,1,  38.7%,  0.90%
23 ,10,2,   9.3%,  0.81%
23 ,10,3,  16.4%,  0.97%
23 ,10,4,   4.3%,  0.65%
23 ,10,5,  15.5%,  1.20%
23 ,10,6,  21.8%,  1.31%
23 ,10,7,  52.9%,  1.07%
23 ,11,1,   5.5%,  0.45%
23 ,11,2,   8.9%,  0.58%
23 ,11,3,   1.6%,  0.22%
23 ,11,4,   7.1%,  0.62%
23 ,11,5,   8.0%,  0.77%
23 ,11,6,   4.9%,  0.44%
23 ,11,7,  19.1%,  1.25%
23 ,11,8,  66.0%,  1.26%
23 ,12,1,   1.3%,  0.27%
23 ,12,2,   6.3%,  0.69%
23 ,12,3,  50.2%,  0.70%
23 ,12,4,  31.3%,  1.01%
23 ,12,5,  10.8%,  0.58%
23 ,13,1,   6.4%,  0.63%
23 ,13,2,  10.6%,  0.41%
23 ,13,3,  16.3%,  0.78%
23 ,13,4,  22.8%,  1.41%
23 ,13,5,  22.7%,  1.04%
23 ,13,6,   4.0%,  0.50%
23 ,13,7,  17.2%,  0.95%
23 ,14,1,   2.2%,  0.33%
23 ,14,2,  97.8%,  0.33%
23 ,15,1,   6.4%,  0.31%
23 ,15,2,  93.6%,  0.31%
23 ,16,1,  71.5%,  1.36%
23 ,16,2,  15.6%,  1.03%
23 ,16,3,  13.1%,  0.66%
23 ,16,4,   0.3%,  0.15%
23 ,16,5,   1.3%,  0.24%
23 ,16,6,   4.1%,  0.37%
23 ,16,8,   0.5%,  0.12%
23 ,16,9,   2.7%,  0.18%
23 ,16,10,   5.7%,  0.52%
23 ,16,11,   7.8%,  0.85%
23 ,16,12,   2.5%,  0.40%
23 ,16,13,   1.8%,  0.39%
23 ,16,14,  21.5%,  1.05%
23 ,17,1,  70.3%,  1.44%
23 ,17,2,  13.8%,  1.14%
23 ,17,3,   8.0%,  0.51%
23 ,17,5,   1.2%,  0.32%
23 ,17,6,   3.9%,  0.36%
23 ,17,7,   0.2%,  0.15%
23 ,17,8,   0.7%,  0.16%
23 ,17,9,  25.9%,  1.43%
23 ,18,1,   8.9%,  0.53%
23 ,18,2,  28.3%,  0.63%
23 ,18,3,  62.7%,  0.97%
23 ,19,1,  15.9%,  0.75%
23 ,19,2,  15.8%,  1.08%
23 ,19,3,   4.7%,  0.28%
23 ,19,4,  20.3%,  1.04%
23 ,19,5,  10.2%,  1.04%
23 ,19,6,  23.1%,  0.96%
23 ,19,7,   2.9%,  0.42%
23 ,19,8,  46.1%,  1.55%
23 ,20,1,   0.7%,  0.23%
23 ,20,2,   4.0%,  0.54%
23 ,20,3,  12.3%,  0.99%
23 ,20,4,  33.6%,  1.35%
23 ,20,5,   5.5%,  0.73%
23 ,20,6,   0.7%,  0.27%
23 ,20,7,  26.3%,  0.94%
23 ,20,8,  16.9%,  0.68%
31 ,2,1,  27.8%,  0.57%
31 ,2,2,  48.2%,  0.80%
31 ,2,3,  17.3%,  0.58%
31 ,2,4,   5.4%,  0.46%
31 ,2,5,   1.3%,  0.20%
31 ,3,1,   2.8%,  0.34%
31 ,3,2,   1.2%,  0.20%
31 ,3,3,   1.5%,  0.29%
31 ,3,4,   4.4%,  0.41%
31 ,3,5,  15.2%,  0.82%
31 ,3,6,  17.5%,  0.69%
31 ,3,7,  11.6%,  1.05%
31 ,3,8,  19.7%,  0.86%
31 ,3,9,  20.5%,  0.98%
31 ,3,10,   5.6%,  0.63%
31 ,4,1,  10.4%,  0.57%
31 ,4,2,  29.8%,  1.39%
31 ,4,3,  59.8%,  1.14%
31 ,5,2,   1.0%,  0.23%
31 ,5,3,   0.9%,  0.21%
31 ,5,4,  98.0%,  0.37%
31 ,6,1,   8.9%,  0.33%
31 ,6,2,  10.6%,  0.89%
31 ,6,3,  80.5%,  0.87%
31 ,7,1,   4.3%,  0.65%
31 ,7,2,  41.9%,  1.12%
31 ,7,3,  53.8%,  1.38%
31 ,8,1,  10.9%,  0.64%
31 ,8,2,  16.1%,  0.97%
31 ,8,3,  73.0%,  1.15%
31 ,9,1,   1.7%,  0.30%
31 ,9,2,   1.9%,  0.32%
31 ,9,3,  34.9%,  1.04%
31 ,9,4,  61.5%,  0.77%
31 ,10,1,  38.3%,  1.10%
31 ,10,2,  14.4%,  0.76%
31 ,10,3,  15.3%,  0.75%
31 ,10,4,   4.0%,  0.50%
31 ,10,5,  22.3%,  0.61%
31 ,10,6,  28.5%,  1.11%
31 ,10,7,  49.6%,  1.19%
31 ,11,1,   9.8%,  0.76%
31 ,11,2,  12.5%,  0.73%
31 ,11,3,   1.9%,  0.31%
31 ,11,4,   6.9%,  0.45%
31 ,11,5,   7.8%,  0.45%
31 ,11,6,   3.3%,  0.35%
31 ,11,7,  18.2%,  0.72%
31 ,11,8,  62.2%,  0.90%
31 ,12,1,   2.7%,  0.41%
31 ,12,2,   8.5%,  0.47%
31 ,12,3,  43.3%,  0.79%
31 ,12,4,  32.8%,  1.08%
31 ,12,5,  12.8%,  0.64%
31 ,13,1,   5.1%,  0.48%
31 ,13,2,  10.0%,  0.53%
31 ,13,3,  15.5%,  0.58%
31 ,13,4,  25.5%,  0.86%
31 ,13,5,  26.9%,  1.23%
31 ,13,6,   2.4%,  0.40%
31 ,13,7,  14.6%,  0.61%
31 ,14,1,   2.8%,  0.24%
31 ,14,2,  97.2%,  0.24%
31 ,15,1,   8.4%,  0.41%
31 ,15,2,  91.6%,  0.41%
31 ,16,1,  81.5%,  1.00%
31 ,16,2,  19.4%,  0.94%
31 ,16,3,  13.4%,  0.79%
31 ,16,4,   0.8%,  0.29%
31 ,16,5,   2.1%,  0.21%
31 ,16,6,   6.8%,  0.50%
31 ,16,7,   0.6%,  0.15%
31 ,16,8,   0.7%,  0.21%
31 ,16,9,   5.2%,  0.57%
31 ,16,10,   6.4%,  0.40%
31 ,16,11,   8.3%,  0.70%
31 ,16,12,   2.9%,  0.29%
31 ,16,13,   2.6%,  0.23%
31 ,16,14,  13.9%,  0.90%
31 ,17,1,  80.5%,  0.92%
31 ,17,2,  16.7%,  0.85%
31 ,17,3,   8.4%,  0.66%
31 ,17,4,   0.3%,  0.11%
31 ,17,5,   1.9%,  0.20%
31 ,17,6,   6.5%,  0.53%
31 ,17,7,   0.3%,  0.10%
31 ,17,8,   0.7%,  0.20%
31 ,17,9,  16.6%,  0.79%
31 ,18,1,  18.2%,  0.70%
31 ,18,2,  40.2%,  1.04%
31 ,18,3,  41.6%,  1.17%
31 ,19,1,  23.7%,  0.92%
31 ,19,2,  22.7%,  0.83%
31 ,19,3,  15.8%,  0.63%
31 ,19,4,  40.1%,  1.03%
31 ,19,5,  11.2%,  0.91%
31 ,19,6,  28.7%,  0.73%
31 ,19,7,   3.7%,  0.38%
31 ,19,8,  31.5%,  0.92%
31 ,20,1,   0.9%,  0.23%
31 ,20,2,   4.1%,  0.44%
31 ,20,3,  16.3%,  0.97%
31 ,20,4,  43.2%,  0.85%
31 ,20,5,   5.7%,  0.31%
31 ,20,6,   1.2%,  0.30%
31 ,20,7,  16.5%,  0.95%
31 ,20,8,  12.1%,  0.91%
42 ,2,1,  32.3%,  0.83%
42 ,2,2,  44.2%,  0.60%
42 ,2,3,  15.8%,  0.58%
42 ,2,4,   5.9%,  0.24%
42 ,2,5,   1.8%,  0.16%
42 ,3,1,   4.8%,  0.28%
42 ,3,2,   3.1%,  0.18%
42 ,3,3,   3.7%,  0.39%
42 ,3,4,   9.1%,  0.36%
42 ,3,5,  17.6%,  0.83%
42 ,3,6,  15.1%,  0.60%
42 ,3,7,   9.8%,  0.46%
42 ,3,8,  13.9%,  0.42%
42 ,3,9,  16.1%,  0.51%
42 ,3,10,   7.0%,  0.38%
42 ,4,1,   9.9%,  0.44%
42 ,4,2,  32.2%,  0.48%
42 ,4,3,  57.9%,  0.74%
42 ,5,1,   0.8%,  0.26%
42 ,5,2,   0.9%,  0.13%
42 ,5,3,   1.3%,  0.19%
42 ,5,4,  97.0%,  0.32%
42 ,6,1,   4.0%,  0.23%
42 ,6,2,   6.3%,  0.29%
42 ,6,3,  89.7%,  0.39%
42 ,7,1,   2.9%,  0.30%
42 ,7,2,  35.0%,  0.59%
42 ,7,3,  62.1%,  0.75%
42 ,8,1,   4.8%,  0.38%
42 ,8,2,  10.3%,  0.47%
42 ,8,3,  85.0%,  0.59%
42 ,9,1,   2.2%,  0.19%
42 ,9,2,   3.1%,  0.32%
42 ,9,3,  52.4%,  0.59%
42 ,9,4,  42.3%,  0.67%
42 ,10,1,  33.5%,  1.15%
42 ,10,2,  24.5%,  0.57%
42 ,10,3,  13.7%,  0.81%
42 ,10,4,   6.9%,  0.37%
42 ,10,5,  11.8%,  0.30%
42 ,10,6,  36.0%,  0.88%
42 ,10,7,  45.7%,  1.38%
42 ,11,1,   4.9%,  0.29%
42 ,11,2,   7.5%,  0.43%
42 ,11,3,   3.6%,  0.23%
42 ,11,4,   6.4%,  0.46%
42 ,11,5,  12.0%,  0.54%
42 ,11,6,   3.3%,  0.29%
42 ,11,7,  14.7%,  0.65%
42 ,11,8,  69.0%,  0.86%
42 ,12,1,   1.6%,  0.18%
42 ,12,2,   6.5%,  0.41%
42 ,12,3,  45.4%,  0.63%
42 ,12,4,  30.1%,  0.54%
42 ,12,5,  16.4%,  0.48%
42 ,13,1,   4.8%,  0.34%
42 ,13,2,   8.9%,  0.55%
42 ,13,3,  13.7%,  0.64%
42 ,13,4,  24.2%,  0.68%
42 ,13,5,  28.7%,  0.64%
42 ,13,6,   4.2%,  0.29%
42 ,13,7,  15.6%,  0.43%
42 ,14,1,   2.4%,  0.22%
42 ,14,2,  97.6%,  0.22%
42 ,15,1,   9.1%,  0.50%
42 ,15,2,  90.9%,  0.50%
42 ,16,1,  69.9%,  0.50%
42 ,16,2,  19.5%,  0.74%
42 ,16,3,  12.0%,  0.75%
42 ,16,4,   0.5%,  0.08%
42 ,16,5,   0.6%,  0.10%
42 ,16,6,   1.6%,  0.24%
42 ,16,7,   0.3%,  0.10%
42 ,16,8,   0.7%,  0.09%
42 ,16,9,   3.3%,  0.28%
42 ,16,10,   6.2%,  0.35%
42 ,16,11,  11.5%,  0.53%
42 ,16,12,   3.7%,  0.33%
42 ,16,13,   2.3%,  0.14%
42 ,16,14,  22.8%,  0.51%
42 ,17,1,  68.1%,  0.48%
42 ,17,2,  17.3%,  0.83%
42 ,17,3,   8.1%,  0.47%
42 ,17,4,   0.2%,  0.05%
42 ,17,5,   0.6%,  0.12%
42 ,17,6,   1.7%,  0.31%
42 ,17,7,   0.2%,  0.07%
42 ,17,8,   0.7%,  0.11%
42 ,17,9,  27.6%,  0.55%
42 ,18,1,  22.4%,  0.47%
42 ,18,2,  36.4%,  0.54%
42 ,18,3,  41.2%,  0.68%
42 ,19,1,  24.3%,  0.91%
42 ,19,2,  21.6%,  0.57%
42 ,19,3,  20.4%,  0.67%
42 ,19,4,  44.3%,  0.90%
42 ,19,5,   9.0%,  0.33%
